stock,QUAL,MTUM,VLUE,IWM,IVW,IYW,IYC,IVV
T,0,0,7.19575,0,0,0,0,0.4619
INTC,1.1821,0,5.64419,0,0,1.93978,0,0.49526
MU,0,0,4.03235,0,0,1.08384,0,0.27464
CSCO,1.66228,0,3.68796,0,0.59213,0,0,0.65348
F,0,1.00559,3.04572,0,0,0,1.33617,0.19237
GM,0,0,2.95666,0,0,0,1.26473,0.19107
IBM,0,0,2.65262,0,0,1.18404,0,0.30153
PFE,0,0,2.35202,0,0.79891,0,0,0.73764
ABBV,0,0,2.29454,0,0.7469,0,0,0.68956
C,0,0,2.07417,0,0,0,0,0.34418
WFC,0,2.78978,1.87462,0,0,0,0,0.60093
CVS,0,0,1.84956,0,0,0,0,0.36451
RTX,0,0,1.84921,0,0,0,0,0.37871
BMY,0,0,1.78733,0,0,0,0,0.4058
AMAT,0.89814,1.22641,1.7627,0,0.65403,1.27976,0,0.32559
MO,0,0,1.4682,0,0,0,0,0.25706
FIS,0,0,1.25762,0,0,0,0,0.15748
HPQ,0,0,1.22156,0,0.11378,0.44444,0,0.11284
GS,0,1.52724,1.1884,0,0.64056,0,0,0.31862
EOG,0,0.85758,1.0998,0,0.16383,0,0,0.17711
CI,0,0,1.09619,0,0,0,0,0.20457
LEN,0,0,1.08088,0,0,0,0.45235,0.06515
WBA,0,0,1.0147,0,0,0,0,0.09136
ANTM,0,0,0.95145,0,0,0,0,0.29329
DHI,0.64653,0,0.94413,0,0.07775,0,0.51833,0.07401
HPE,0,0,0.9066,0,0,0.23926,0,0.06131
CBRE,0.30811,0.39039,0.90382,0,0.09097,0,0,0.09022
FISV,0,0,0.87893,0,0,0,0,0.15168
FDX,0,0,0.86891,0,0,0,0,0.14707
KHC,0,0,0.86851,0,0,0,0,0.07378
COF,0,0,0.80881,0,0.17157,0,0,0.17725
GILD,0,0,0.7966,0,0,0,0,0.20751
CTSH,0,0,0.7515,0,0,0.48445,0,0.12309
KR,0,0,0.7487,0,0,0,0,0.08292
TSN,0,0,0.72033,0,0,0,0,0.07456
GLW,0,0,0.69664,0,0,0.33764,0,0.08761
NXPI,0,0,0.67617,0,0.17056,0.52818,0,0.13453
GPN,0,0,0.67538,0,0,0,0,0.10719
AIG,0,0,0.67506,0,0,0,0,0.13861
TEL,0,0,0.66159,0,0,0,0,0.12653
PARA,0,0,0.63878,0,0,0,0.31261,0.04656
KMI,0.67321,0,0.61492,0,0,0,0,0.088
WDC,0,0,0.61218,0,0,0.18446,0,0.04678
MET,0,0,0.61048,0,0,0,0,0.13446
CNC,0,0,0.60062,0,0,0,0,0.12948
PSA,0.58764,0,0.59969,0,0.16755,0,0,0.14203
NOC,0,0,0.59501,0,0,0,0,0.15754
LHX,0,0,0.57281,0,0.09786,0,0,0.11549
PHM,0.26997,0,0.56343,0,0,0,0.22946,0.03278
EXC,0,0,0.55316,0,0,0,0,0.11029
PRU,0,0,0.5482,0,0,0,0,0.1166
GD,0,0,0.52385,0,0,0,0,0.13565
BBY,0.61895,0,0.51934,0,0,0,0.45405,0.05792
SPG,0,0,0.51482,0,0.15165,0,0,0.12524
JCI,0,0.5213,0.5137,0,0.15412,0,0,0.126
DVN,0,0.72756,0.50449,0,0.18809,0,0,0.09326
STX,0,0,0.48902,0,0.08883,0,0,0.06019
PCAR,0,0,0.48462,0,0,0,0,0.08864
NUE,0.38195,0.57265,0.4624,0,0.10351,0,0,0.09501
LUMN,0,0,0.45749,0,0,0,0,0.02478
DISCK,0,0,0.43871,0,0,0,0.1779,0.02436
PXD,0,0.6376,0.43523,0,0.16183,0,0,0.14351
ON,0,0,0.42162,0,0,0.27111,0,0
WHR,0,0,0.41276,0,0,0,0.22971,0.03319
CMI,0,0,0.40037,0,0,0,0,0.08377
TAP,0,0,0.38573,0,0,0,0,0.02413
BWA,0,0,0.38415,0,0,0,0.19781,0.02868
BK,0,0,0.38003,0,0,0,0,0.11586
MCK,0,0,0.3734,0,0,0,0,0.11181
LBTYK,0,0,0.37091,0,0,0,0,0
LEA,0,0,0.36553,0,0,0,0.19575,0
SWKS,0.16348,0,0.35488,0,0.05785,0.23954,0,0.06178
CTVA,0,0,0.35075,0,0,0,0,0.09929
LYB,0,0,0.34995,0,0,0,0,0.07024
VTRS,0,0,0.34896,0,0,0,0,0.04903
SJM,0,0,0.34504,0,0,0,0,0.04145
FOXA,0.12482,0,0.34356,0,0,0,0.25619,0.03672
ARW,0,0,0.34347,0,0,0.09125,0,0
MHK,0,0,0.34146,0,0,0,0,0.02157
LKQ,0,0,0.32973,0,0.03095,0,0.25267,0.03509
CAG,0,0,0.32537,0,0,0,0,0.04746
URI,0,0.22795,0.31306,0,0.07399,0,0,0.06096
DD,0,0,0.31201,0,0,0,0,0.11035
QRVO,0,0,0.30905,0,0.0393,0.15662,0,0.03888
VMW,0,0,0.30593,0,0,0.29093,0,0
DELL,0,0.15334,0.30321,0,0,0.17037,0,0
WY,0,0,0.30054,0,0.06722,0,0,0.08016
NWL,0,0,0.29945,0,0.02831,0,0.18638,0.02736
JNPR,0,0,0.29614,0,0,0,0,0.0306
FANG,0,0.36064,0.29215,0,0.12216,0,0,0.06054
NTAP,0,0.24322,0.28908,0,0.07873,0.21485,0,0.0556
BIIB,0,0,0.28717,0,0,0,0,0.08335
WAB,0,0,0.28477,0,0,0,0,0.04844
CFG,0,0,0.2752,0,0,0,0,0.06152
SSNC,0,0,0.27483,0,0,0.17575,0,0
DOW,0,0,0.25858,0,0,0,0,0.12064
PPL,0,0,0.25219,0,0,0,0,0.05299
FITB,0,0,0.24749,0,0,0,0,0.08905
PCG,0,0,0.24627,0,0,0,0,0
ALLY,0,0,0.23905,0,0,0,0,0
MOS,0,0.16689,0.23051,0,0,0,0,0.04499
LNC,0,0,0.21687,0,0,0,0,0.032
DISH,0,0,0.2118,0,0,0,0,0.01955
OC,0,0,0.20922,0,0,0,0,0
DISCA,0,0,0.20745,0,0,0,0.09269,0.01457
EQH,0,0,0.20315,0,0,0,0,0
RF,0,0,0.2018,0,0.05545,0,0,0.06188
FFIV,0,0,0.20171,0,0.03521,0.12891,0,0.0334
CEG,0,0,0.20115,0,0,0,0,0.03948
EIX,0,0,0.19823,0,0,0,0,0.06238
VST,0,0,0.19684,0,0,0,0,0
TXT,0,0.15911,0.19378,0,0,0,0,0.04106
ED,0,0,0.19369,0,0,0,0,0.08096
SWK,0,0,0.19165,0,0,0,0,0.07146
KNX,0,0,0.19074,0,0,0,0,0
PFG,0,0,0.18232,0,0,0,0,0.04768
STLD,0.13364,0.15312,0.1817,0,0,0,0,0
HIG,0,0.21997,0.17949,0,0,0,0,0.06492
IP,0,0,0.17362,0,0,0,0,0.04979
IRM,0,0,0.16998,0,0.04146,0,0,0.0336
CAH,0,0,0.16581,0,0,0,0,0.04073
NRG,0,0,0.15587,0,0.05132,0,0,0.02627
SNA,0,0,0.15393,0,0,0,0,0.03051
FOX,0.0525,0,0.15361,0,0,0,0.1091,0.01533
L,0,0,0.1502,0,0,0,0,0.03276
WRK,0,0,0.14777,0,0,0,0,0.03469
WU,0,0,0.14746,0,0,0,0,0
LDOS,0,0,0.14599,0,0,0.1402,0,0.03454
EMN,0,0,0.14437,0,0,0,0,0.04377
CTRA,0.3095,0,0.13997,0,0,0,0,0.04977
UHS,0,0,0.13759,0,0,0,0,0.02659
EVRG,0,0,0.13744,0,0,0,0,0.03844
RE,0,0,0.13644,0,0,0,0,0.03346
NLY,0,0,0.13518,0,0,0,0,0
LBTYA,0,0,0.13122,0,0,0,0,0
VTR,0,0,0.12635,0,0,0,0,0.05758
DGX,0.17136,0,0.11629,0,0.04045,0,0,0.04432
JAZZ,0,0,0.11251,0,0,0,0,0
AGNC,0,0,0.11213,0,0,0,0,0
IVZ,0,0,0.10311,0,0,0,0,0.02074
ST,0,0,0.10273,0,0,0,0,0
HII,0.0918,0,0.09556,0,0,0,0,0.02077
UGI,0,0,0.09373,0,0,0,0,0
UHAL,0,0.08423,0.08253,0,0,0,0.10078,0
BEN,0,0,0.08175,0,0.02097,0,0,0.02322
ATO,1.46457,0,0.07608,0,0,0,0,0.03787
DVA,0,0,0.06558,0,0,0,0,0.02028
Y,0,0,0.05995,0,0,0,0,0
CLVT,0,0,0.05548,0,0,0.07426,0,0
NVAX,0,0,0.04112,0,0,0,0,0
AAPL,3.84704,0,0,0,14.16682,19.55522,0,7.06128
MSFT,3.06281,5.0087,0,0,11.74533,16.48086,0,5.85412
AMZN,0,0,0,0,7.23186,0,13.53417,3.60453
GOOGL,2.30485,2.68627,0,0,4.26152,6.08384,0,2.12469
GOOG,2.20689,2.46713,0,0,3.96336,5.67587,0,1.97574
TSLA,0,4.64028,0,0,3.78688,0,7.8523,1.88778
NVDA,2.70955,4.43102,0,0,3.21041,3.873,0,1.60058
BRKB,0,0,0,0,0,0,0,1.56121
FB,3.16379,0,0,0,2.64973,3.30669,0,1.32106
JPM,0,4.3454,0,0,1.12337,0,0,1.21755
UNH,0,0,0,0,1.00541,0,0,1.19317
JNJ,4.30221,0,0,0,0,0,0,1.16461
PG,0,0,0,0,0,0,0,1.04786
V,2.40305,0,0,0,0.87235,0,0,1.01131
HD,0,0,0,0,1.51131,0,4.28628,0.99133
BAC,0,4.02891,0,0,0.79103,0,0,0.89636
XOM,0,0,0,0,0,0,0,0.8869
MA,2.93092,0,0,0,0.81932,0,0,0.86908
DIS,0,0,0,0,0,0,4.41293,0.74482
CVX,0,0,0,0,0,0,0,0.69649
KO,0,0,0,0,0,0,0,0.65843
AVGO,0,0,0,0,0.73918,2.46667,0,0.64649
PEP,0,0,0,0,0.52796,0,0,0.62798
COST,3.0366,3.25067,0,0,0.62759,0,4.16146,0.61351
VZ,0,0,0,0,0,0,0,0.60363
CMCSA,0,0,0,0,0,0,0,0.57587
TMO,0,2.58631,0,0,1.14981,0,0,0.57324
ADBE,1.61988,2.48088,0,0,1.14389,2.18229,0,0.57024
ABT,0,0,0,0,0.59455,0,0,0.55902
ACN,1.5183,2.76403,0,0,0.63915,0,0,0.54938
WMT,0,0,0,0,0,0,3.74796,0.53141
MRK,0,0,0,0,0,0,0,0.52219
CRM,0,0,0,0,0.63855,1.96135,0,0.52189
LLY,2.48818,3.32341,0,0,1.03638,0,0,0.51689
QCOM,1.48312,0,0,0,1.01986,2.01486,0,0.50867
MCD,0,0,0,0,0.45783,0,3.54324,0.50731
AMD,0,0,0,0,1.0105,1.98187,0,0.50396
NKE,4.09991,0,0,0,0.53582,0,3.35337,0.4949
PM,0,0,0,0,0,0,0,0.46981
NFLX,0,0,0,0,0.94149,0,2.7667,0.46862
DHR,0,0,0,0,0.62704,0,0,0.45998
UNP,0,0,0,0,0.36007,0,0,0.43774
LIN,0,0,0,0,0.42915,0,0,0.42073
LOW,0,0,0,0,0.83759,0,2.92133,0.41796
TXN,1.33194,0,0,0,0.40905,1.64093,0,0.41732
UPS,0,0,0,0,0.35693,0,0,0.4137
NEE,0,0,0,0,0,0,0,0.39338
MS,0,1.77876,0,0,0.36608,0,0,0.37136
INTU,0.85103,2.46624,0,0,0.74035,1.36083,0,0.36842
MDT,0,0,0,0,0,0,0,0.36598
SCHW,0,1.39265,0,0,0.47731,0,0,0.34799
HON,0,0,0,0,0,0,0,0.33988
AMGN,1.34391,0,0,0,0.27752,0,0,0.33726
AXP,0,0,0,0,0.29343,0,0,0.33067
PYPL,0,0,0,0,0.35725,0,0,0.32989
ORCL,0,2.0209,0,0,0.65328,1.31121,0,0.32526
COP,0,2.02058,0,0,0,0,0,0.31967
BA,0,0,0,0,0,0,0,0.31328
NOW,0,0,0,0,0.60104,1.16758,0,0.30016
SBUX,0,0,0,0,0.30444,0,2.08265,0.2989
BLK,2.2233,1.10156,0,0,0.30458,0,0,0.29188
BKNG,0,0,0,0,0,0,2.02808,0.29118
PLD,0.79433,0,0,0,0.35091,0,0,0.285
DE,0,0,0,0,0.26099,0,0,0.28157
AMT,0,0,0,0,0.28766,0,0,0.28127
CAT,0,0,0,0,0,0,0,0.28077
GE,0,0,0,0,0,0,0,0.2762
ISRG,0,0,0,0,0.37589,0,0,0.27099
TGT,2.38851,1.17163,0,0,0.29828,0,1.88713,0.27072
LMT,1.99759,0,0,0,0,0,0,0.25688
MDLZ,0,0,0,0,0,0,0,0.24977
SPGI,0,0,0,0,0.30196,0,0,0.24675
ZTS,0,0,0,0,0.32383,0,0,0.24469
CB,0,0,0,0,0,0,0,0.23846
ADI,0,0,0,0,0,0.91683,0,0.23342
PNC,0,0.89188,0,0,0,0,0,0.23058
MMM,1.08122,0,0,0,0,0,0,0.23036
CME,0,0,0,0,0,0,0,0.22994
ADP,0.67332,0,0,0,0.24363,0,0,0.22874
SYK,0,0,0,0,0.18513,0,0,0.2257
TFC,0,0,0,0,0,0,0,0.22526
LRCX,0.71312,0,0,0,0.43621,0.85403,0,0.21702
TJX,0,0,0,0,0,0,1.51004,0.21542
USB,0,0,0,0,0,0,0,0.20877
DUK,0,0,0,0,0,0,0,0.2083
MMC,0,0.98323,0,0,0.25465,0,0,0.20808
CSX,0,0,0,0,0,0,0,0.20788
BDX,0,0,0,0,0,0,0,0.20554
CHTR,0,0,0,0,0,0,0,0.1997
TMUS,0,0,0,0,0,0,0,0.19738
EL,1.13409,0,0,0,0.22536,0,1.31304,0.19027
CCI,0,0,0,0,0.1711,0,0,0.19008
ICE,0,0,0,0,0.21386,0,0,0.18749
SO,0,0,0,0,0,0,0,0.18325
CL,0,0,0,0,0,0,0,0.18128
EW,0.71066,0.77284,0,0,0.22619,0,0,0.17848
NSC,0,0,0,0,0,0,0,0.1778
REGN,0.79327,0,0,0,0.35392,0,0,0.17548
SHW,0.99735,0,0,0,0.18605,0,0,0.17514
D,0,0,0,0,0,0,0,0.1738
FCX,0,0,0,0,0.15033,0,0,0.17169
ATVI,0.61614,0,0,0,0,0,1.18451,0.17096
AON,0,0.81351,0,0,0.20355,0,0,0.16911
PGR,1.47293,0,0,0,0,0,0,0.16911
EQIX,0,0,0,0,0.15546,0,0,0.16877
ITW,1.11107,0,0,0,0.13699,0,0,0.167
ETN,0,0,0,0,0,0,0,0.16532
BSX,0,0,0,0,0,0,0,0.16465
HCA,0,0,0,0,0.18499,0,0,0.15777
VRTX,0,0,0,0,0.18997,0,0,0.15751
SLB,1.57779,0,0,0,0,0,0,0.15308
EMR,0,0,0,0,0,0,0,0.15027
WM,0,0.70499,0,0,0.15142,0,0,0.14788
HUM,0,0,0,0,0,0,0,0.14742
KLAC,0.45565,0.54664,0,0,0.29546,0.57888,0,0.14676
NEM,0,0,0,0,0,0,0,0.14595
APD,0,0,0,0,0,0,0,0.14477
MCO,0,0,0,0,0.18745,0,0,0.14203
MRNA,0.77197,1.36323,0,0,0.27927,0,0,0.139
ILMN,0,0,0,0,0.12937,0,0,0.13149
MAR,0,0,0,0,0,0,0.89971,0.12969
ADSK,0.28783,0,0,0,0.16546,0.50853,0,0.12949
MPC,0.86952,0,0,0,0,0,0,0.12824
ROP,0,0,0,0,0,0.49156,0,0.12602
DG,0,0,0,0,0,0,0.88269,0.12602
APH,0,0,0,0,0.13073,0.47443,0,0.12407
ORLY,0,0,0,0,0.24849,0,0.85291,0.12337
KMB,0,0,0,0,0,0,0,0.12117
ECL,0,0,0,0,0,0,0,0.12042
SNPS,0,0.55307,0,0,0.15929,0.46423,0,0.11906
IQV,0,0,0,0,0.17261,0,0,0.11857
MSCI,0,0.6965,0,0,0.23603,0,0,0.11779
SRE,0,0,0,0,0,0,0,0.11753
AEP,0,0,0,0,0,0,0,0.11677
ADM,0,0,0,0,0,0,0,0.11649
CMG,0,0,0,0,0.15639,0,0.80514,0.11618
SYY,0,0,0,0,0,0,0,0.11603
INFO,0,0.49247,0,0,0.11123,0,0,0.11562
HLT,0,0,0,0,0.09379,0,0.77972,0.11439
TRV,0,0,0,0,0,0,0,0.11334
IDXX,0.70354,0.4043,0,0,0.15542,0,0,0.11276
FTNT,0.28998,1.00351,0,0,0.22436,0.43453,0,0.11244
GIS,0,0,0,0,0,0,0,0.11196
BAX,0,0,0,0,0,0,0,0.11149
AZO,0,0,0,0,0.21839,0,0.75595,0.10879
A,0,0.45196,0,0,0.1302,0,0,0.10856
MCHP,0,0,0,0,0.1033,0.4163,0,0.10739
PH,0,0,0,0,0,0,0,0.10554
AFL,0.83762,0,0,0,0,0,0,0.10397
DLR,0,0,0,0,0,0,0,0.10373
CARR,0,0.33609,0,0,0,0,0,0.10367
APTV,0,0,0,0,0.08446,0,0.72085,0.10352
O,0.24788,0,0,0,0,0,0,0.1019
CDNS,0.26071,0.46087,0,0,0.20361,0.3945,0,0.10159
PAYX,0.30084,0.42917,0,0,0.10643,0,0,0.10091
PSX,0,0,0,0,0,0,0,0.10081
DXCM,0,0.49464,0,0,0.20111,0,0,0.10029
ALGN,0.47035,0,0,0,0.19836,0,0,0.09929
YUM,0,0,0,0,0.09354,0,0.69846,0.09925
EA,0.32638,0,0,0,0,0,0.6938,0.09903
MSI,0,0.46501,0,0,0.1175,0,0,0.09873
DFS,0,0,0,0,0.19795,0,0,0.09814
TT,0,0,0,0,0,0,0,0.09801
WMB,0,0,0,0,0,0,0,0.09774
ALL,0.7727,0,0,0,0,0,0,0.09761
SIVB,0.70834,0.46755,0,0,0.19524,0,0,0.09755
WELL,0,0,0,0,0,0,0,0.09749
PPG,0.36211,0,0,0,0,0,0,0.09675
XEL,0,0,0,0,0,0,0,0.09639
STZ,0,0,0,0,0,0,0,0.09589
VLO,0,0,0,0,0,0,0,0.09556
OXY,0,0.51745,0,0,0.0785,0,0,0.09492
EBAY,0,0.43929,0,0,0.14483,0,0.65704,0.0939
STT,0,0,0,0,0,0,0,0.09325
IFF,0,0,0,0,0,0,0,0.09274
TDG,0,0,0,0,0.08178,0,0,0.09202
RMD,0,0,0,0,0.10586,0,0,0.09131
AMP,0,0.33692,0,0,0.112,0,0,0.09095
ROST,0,0,0,0,0,0,0.61925,0.09016
AVB,0.24265,0,0,0,0.07534,0,0,0.08939
PEG,0,0,0,0,0,0,0,0.08886
CTAS,0.46503,0,0,0,0.08127,0,0,0.08831
MTD,0,0,0,0,0.11114,0,0,0.08781
OTIS,0,0,0,0,0.07077,0,0,0.0873
TROW,0.90605,0.40651,0,0,0.12233,0,0,0.08691
DLTR,0,0,0,0,0,0,0.60161,0.0869
AJG,0,0.36131,0,0,0.07624,0,0,0.08661
SBAC,0,0,0,0,0.09594,0,0,0.08548
ROK,0.46293,0,0,0,0.08633,0,0,0.08334
EXPE,0,0,0,0,0,0,0.57341,0.0827
MTCH,0,0,0,0,0,0.32349,0,0.08232
VRSK,0,0,0,0,0.08392,0,0,0.08184
MNST,0.5104,0,0,0,0.08559,0,0,0.08172
FRC,0,0,0,0,0.16382,0,0,0.08171
AME,0,0,0,0,0,0,0,0.0809
KEYS,0,0.37222,0,0,0.12008,0,0,0.08057
FAST,0.45197,0,0,0,0.07621,0,0,0.07997
HSY,0.61768,0,0,0,0.07243,0,0,0.07977
BLL,0,0,0,0,0,0,0,0.07951
HAL,0,0,0,0,0,0,0,0.07853
EQR,0.19077,0,0,0,0,0,0,0.07786
ES,0,0,0,0,0,0,0,0.07738
WEC,0,0,0,0,0,0,0,0.07709
ANET,0,0.35005,0,0,0.15302,0,0,0.07679
WTW,0,0,0,0,0,0,0,0.07601
OKE,0,0,0,0,0.06467,0,0,0.07544
TWTR,0,0,0,0,0.07096,0.28538,0,0.07488
WST,0.29129,0.35628,0,0,0.14847,0,0,0.07469
DAL,0,0,0,0,0,0,0.51788,0.07457
LUV,0,0,0,0,0,0,0.51377,0.07368
AWK,0,0,0,0,0,0,0,0.07322
ODFL,0.40078,0.42991,0,0,0.14544,0,0,0.07214
CERN,0,0,0,0,0,0,0,0.07197
ANSS,0,0,0,0,0.08765,0.27786,0,0.07096
EFX,0,0.3338,0,0,0.14103,0,0,0.07083
ARE,0,0,0,0,0,0,0,0.07075
CPRT,0.38199,0,0,0,0.09589,0,0.48409,0.07056
HES,0,0,0,0,0.10023,0,0,0.06997
ZBH,0,0,0,0,0,0,0,0.06904
BKR,0,0,0,0,0,0,0,0.06877
EPAM,0,0.48549,0,0,0.1363,0.25353,0,0.06836
EXR,0,0.34945,0,0,0.13594,0,0,0.0682
LH,0,0,0,0,0.07315,0,0,0.06806
NTRS,0,0,0,0,0,0,0,0.06735
CDW,0.192,0,0,0,0.07949,0.26202,0,0.06668
VMC,0,0,0,0,0.06445,0,0,0.06663
TSCO,0.54096,0.24092,0,0,0.13195,0,0.46001,0.06652
RSG,0,0.37054,0,0,0.05904,0,0,0.06604
MKC,0,0,0,0,0,0,0,0.06594
CHD,0.27422,0,0,0,0,0,0,0.06474
KEY,0,0,0,0,0,0,0,0.06456
SYF,0,0,0,0,0.07388,0,0,0.06428
IT,0.15416,0.52917,0,0,0.12829,0.24531,0,0.06408
MLM,0.22529,0,0,0,0.07575,0,0,0.06389
MTB,0,0,0,0,0,0,0,0.06335
MAA,0.15576,0.28866,0,0,0.0796,0,0,0.06302
DTE,0,0,0,0,0,0,0,0.06241
HBAN,0,0,0,0,0,0,0,0.062
FTV,0,0,0,0,0,0,0,0.06193
DOV,0,0,0,0,0.05745,0,0,0.06193
STE,0,0,0,0,0.052,0,0,0.06109
PKI,0,0.23402,0,0,0.12235,0,0,0.06108
ALB,0,0.37323,0,0,0.08189,0,0,0.06095
FE,0,0,0,0,0,0,0,0.06069
ZBRA,0,0.21185,0,0,0.08882,0,0,0.06007
AEE,0,0,0,0,0,0,0,0.05921
IR,0,0,0,0,0,0,0,0.0592
ETR,0,0,0,0,0,0,0,0.05754
