Date,Value,Daily Return,Total Return,adjclose,QUAL Daily Return,QUAL Total Return
2021-12-31,1000000.0,0.0,0.0,145.13827514648438,0.0,0.0
2022-01-03,1008674.1032218932,0.008674103221893104,0.008674103221893104,144.74940490722656,-0.002679308672128955,-0.002679308672128955
2022-01-04,1000449.9918937684,-0.008153387999013217,0.00044999189376837556,144.5799102783203,-0.0011709521639476916,-0.0038471234937890175
2022-01-05,975883.9948120116,-0.02455494755440546,-0.0241160051879884,141.10000610351562,-0.02406907133989622,-0.02782359814385993
2022-01-06,978740.6497917176,0.002927248520205872,-0.0212593502082824,141.22964477539062,0.0009187715539848984,-0.026930390120379122
2022-01-07,980463.352153778,0.0017601213992970433,-0.019536647846222,139.9034881591797,-0.00939007258936353,-0.03606758439165236
2022-01-10,984154.1503334044,0.003764340779814912,-0.015845849666595524,139.2753143310547,-0.004490051223099423,-0.04039569031333978
2022-01-11,996576.0689697266,0.012621923742448304,-0.003423931030273386,140.57154846191406,0.009306991243101859,-0.03146466140624338
2022-01-12,997659.6872711182,0.0010873412829508489,-0.0023403127288817993,140.77096557617188,0.0014186164728193784,-0.03009068122040648
2022-01-13,978224.89535141,-0.019480382105914074,-0.021775104648590005,138.7568359375,-0.014307848429028658,-0.043967996743407234
2022-01-14,980848.772605896,0.002682284275277391,-0.01915122739410402,138.50755310058594,-0.0017965445466510133,-0.045685550825281696
2022-01-18,966369.4434700012,-0.014762040326998016,-0.0336305565299988,136.03472900390625,-0.01785335197484783,-0.06272326258108107
2022-01-19,959447.782901764,-0.007162540801562534,-0.040552217098235976,134.78834533691406,-0.009162246112581984,-0.07131082272491107
2022-01-20,944016.3571624756,-0.016083653549771593,-0.05598364283752444,133.033447265625,-0.013019657351698743,-0.08340203759926379
2022-01-21,908796.1752548218,-0.03730886826317148,-0.09120382474517819,130.83982849121094,-0.016489227480019464,-0.09851602990901176
2022-01-24,913835.5705337524,0.00554513257884004,-0.08616442946624758,131.71728515625,0.0067063422136632855,-0.09247036990544988
2022-01-25,894440.5323791504,-0.021223772394057483,-0.10555946762084956,129.82278442382812,-0.014383083664186613,-0.10552344450282813
2022-01-26,893756.354888916,-0.0007649222787505794,-0.10624364511108397,129.51368713378906,-0.0023809171202949786,-0.10765311904751396
2022-01-27,887908.0181808472,-0.0065435469925085865,-0.11209198181915281,128.94534301757812,-0.00438829384591477,-0.11156899937361897
2022-01-28,906596.9730682372,0.02104830061753482,-0.09340302693176283,132.4252166748047,0.026987199194562494,-0.08759273498909037
2022-01-31,931195.9596939088,0.027133320931372884,-0.06880404030609122,135.047607421875,0.01980280503153775,-0.06952451181072061
2022-02-01,942026.8712997437,0.011631184062906641,-0.05797312870025639,135.8153839111328,0.005685228371794526,-0.06423454616600754
2022-02-02,940261.12392807,-0.0018744129551606648,-0.05973887607193007,137.66998291015625,0.013655294014682129,-0.05145639376512201
2022-02-03,881322.4968833923,-0.06268325419906062,-0.11867750311660763,133.46221923828125,-0.030564133029790552,-0.08044780673064211
2022-02-04,908061.3480375672,0.030339462851261656,-0.09193865196243278,133.0035400390625,-0.0034367718582577478,-0.08360809783066936
2022-02-07,902043.417178955,-0.006627229395478218,-0.09795658282104491,132.45513916015625,-0.004123205132323449,-0.08738656962491365
2022-02-08,911199.7849691772,0.010150695205844773,-0.0888002150308228,133.033447265625,0.004366067705153354,-0.08340203759926379
2022-02-09,929066.088550415,0.019607449294824164,-0.07093391144958494,135.58602905273438,0.019187518925317226,-0.06581479684879232
2022-02-10,916445.6494978332,-0.013584005710802538,-0.08355435050216675,132.6146697998047,-0.021914936765158988,-0.08628740650279831
2022-02-11,890997.1063726806,-0.027768742357058618,-0.10900289362731941,129.8626708984375,-0.02075184371021399,-0.10524862743910657
2022-02-14,887371.7996939087,-0.004068819811919311,-0.11262820030609133,129.15472412109375,-0.005451503287633885,-0.11012636748823723
2022-02-15,901017.718124237,0.015377904092777506,-0.09898228187576297,131.45802307128906,0.017833640742678236,-0.09425668081964034
2022-02-16,902074.183300476,0.0011725243077775893,-0.09792581669952394,131.71728515625,0.001972204350132012,-0.09247036990544988
2022-02-17,878599.4034199524,-0.026023114634136868,-0.12140059658004765,128.79576110839844,-0.02218026316277244,-0.1125996159289605
2022-02-18,863079.5652459717,-0.017664294004263725,-0.13692043475402838,127.98811340332033,-0.006270763091328568,-0.11816429350462399
2022-02-22,846641.7212060547,-0.019045572044371517,-0.15335827879394537,126.33292388916016,-0.012932369031366853,-0.1295685182860583
2022-02-23,831326.6227105713,-0.018089231976032072,-0.16867337728942877,124.27889251708984,-0.016258876220362373,-0.1437207560055519
2022-02-24,866286.3365090942,0.04205292221309542,-0.13371366349090574,126.6320571899414,0.018934548137592877,-0.12750749544091733
2022-02-25,878774.5587724304,0.014415813498410257,-0.12122544122756962,129.75299072265625,0.024645682949252068,-0.10600432179795538
2022-02-28,877581.8818544006,-0.0013572046506397095,-0.12241811814559933,129.50372314453125,-0.001921093122684181,-0.1077217707470588
2022-03-01,860871.8996575928,-0.01904093799372697,-0.1391281003424072,127.7886962890625,-0.013243069881123892,-0.119538273690461
2022-03-02,876231.7201417541,0.01784216733090105,-0.1237682798582459,130.21165466308594,0.018960662753320756,-0.10284413583069918
2022-03-03,861697.414725647,-0.01658728516899144,-0.13830258527435302,129.6831817626953,-0.004058568349799563,-0.10648530422585378
2022-03-04,845433.8418382263,-0.018873879170913765,-0.15456615816177366,128.48666381835938,-0.009226469678430771,-0.11472929047364622
2022-03-07,807478.513629303,-0.04489449833992576,-0.192521486370697,124.68770599365234,-0.029566942683464714,-0.1409040388015621
2022-03-08,806872.6178277588,-0.0007503553237855343,-0.19312738217224124,123.77037048339844,-0.007357064619511133,-0.14722446330246008
2022-03-09,833268.5032380676,0.03271381978653731,-0.16673149676193244,127.08074951171876,0.026746134922205345,-0.12441601373959155
2022-03-10,835165.989940033,0.002277161196651223,-0.164834010059967,126.25315856933594,-0.006512323428707112,-0.13011809984711598
2022-03-11,816966.4752038574,-0.021791494092668118,-0.18303352479614254,124.40851593017578,-0.014610665270184953,-0.14282765311484225
2022-03-14,800910.9275811767,-0.019652639502342306,-0.19908907241882323,123.19205474853516,-0.009777957501907353,-0.15120904789449552
2022-03-15,823491.9994348144,0.028194236182835564,-0.17650800056518556,125.85431671142578,0.021610662865595875,-0.13286611278517524
2022-03-16,855913.6491044617,0.0393709346197646,-0.14408635089553834,128.57640075683594,0.021628849264278216,-0.11411100464665824
2022-03-17,869079.7843927002,0.015382550917390159,-0.13092021560729983,130.36122131347656,0.013881400833548607,-0.1018136244081288
2022-03-18,879143.6171792602,0.011579872144411363,-0.12085638282073974,132.3255157470703,0.015068088606428942,-0.0882796725156233
2022-03-21,877002.9495233154,-0.002434946479863198,-0.12299705047668463,132.03634643554688,-0.002185287621143006,-0.09027204366121933
2022-03-22,893463.0091775513,0.01876853397492284,-0.10653699082244872,133.37246704101562,0.010119339420838758,-0.08106619769040124
2022-03-23,870680.3857225036,-0.025499235246481455,-0.1293196142774964,131.46800231933594,-0.014279294399600628,-0.09418792398732434
2022-03-24,885818.5234140015,0.01738656106159553,-0.11418147658599853,133.55999755859375,0.01591258102619042,-0.079774115933271
2022-03-25,889425.6738465881,0.004072109960722603,-0.1105743261534119,133.97999572753906,0.0031446404359287694,-0.07688033640804637
2022-03-28,902186.7925180054,0.01434759423598364,-0.09781320748199462,134.92999267578125,0.007090587987285124,-0.0703348752105547
2022-03-29,920106.1889413452,0.019862179952032655,-0.07989381105865478,137.38999938964844,0.018231726431485518,-0.05338547498250068
