Date,Value,Daily Return,Total Return,adjclose,IYC Daily Return,IYC Total Return
2021-12-31,1000000.0,0.0,0.0,83.8989486694336,0.0,0.0
2022-01-03,1001679.1449494362,0.0016791449494362176,0.0016791449494362176,85.18739318847656,0.0153570996952479,0.0153570996952479
2022-01-04,976493.9249653816,-0.025143001240507945,-0.023506075034618323,84.93769836425781,-0.002931124135543195,0.012380961994135964
2022-01-05,940334.4947543144,-0.03702985680361415,-0.05966550524568559,82.7802963256836,-0.02539981751474052,-0.0133333296959125
2022-01-06,948500.4357481004,0.008684081078956352,-0.05149956425189961,82.57054901123047,-0.0025337830832099506,-0.015833329013896114
2022-01-07,942911.33452034,-0.005892565798720217,-0.05708866547966007,81.65165710449219,-0.011128567240279663,-0.026785693987607107
2022-01-10,929432.8573668004,-0.01429453296411598,-0.07056714263319952,80.78269958496094,-0.010642252102969763,-0.03714288598240778
2022-01-11,943226.261838436,0.014840668007707336,-0.05677373816156395,81.57174682617188,0.00976752751845189,-0.027738152624903756
2022-01-12,940886.135815382,-0.0024809805639771643,-0.05911386418461795,81.73155975341797,0.0019591700982775073,-0.02583332628583057
2022-01-13,915796.6500759124,-0.026665804484117372,-0.08420334992408762,80.5429916381836,-0.014542339811209448,-0.03999998908773761
2022-01-14,902524.2589571476,-0.014492727307601094,-0.09747574104285239,79.79389190673828,-0.009300619659255105,-0.04892858406211331
2022-01-18,881317.7401101589,-0.023496896218050067,-0.11868225988984105,78.40556335449219,-0.01739893266352699,-0.06547621158622197
2022-01-19,868649.8404023647,-0.014373816764667424,-0.1313501595976353,77.45671081542969,-0.012101852196029661,-0.07678568034727906
2022-01-20,855373.3732199669,-0.015284026502840442,-0.14462662678003313,75.94852447509766,-0.01947134501910186,-0.09476190489181269
2022-01-21,809649.3195328712,-0.0534550818608861,-0.19035068046712877,73.61133575439453,-0.030773326234526777,-0.12261909211249855
2022-01-24,817999.8387436867,0.010313748198582218,-0.18200016125631335,74.5002670288086,0.012076010648414126,-0.11202383092613366
2022-01-25,801988.2714979649,-0.01957404694640641,-0.1980117285020352,73.13191986083984,-0.01836701024762266,-0.1283332983231581
2022-01-26,798419.083245039,-0.004450424500921035,-0.20158091675496104,72.63252258300781,-0.006828718277631984,-0.13428566466090186
2022-01-27,778699.3027467728,-0.024698533529682876,-0.2213006972532272,71.66368103027344,-0.013338949526737642,-0.1458333844845634
2022-01-28,798875.8471648693,0.0259105720872308,-0.20112415283513074,73.15189361572266,0.02076662214463343,-0.128095229131594
2022-01-31,836806.7847251892,0.04748039097055323,-0.1631932152748108,75.76873779296875,0.03577274692289922,-0.09690480042245009
2022-02-01,855611.4226922989,0.022471899499817205,-0.14438857730770116,76.51783752441406,0.009886659765828032,-0.08797620544807427
2022-02-02,840814.7805895805,-0.017293647221490627,-0.1591852194104194,76.15827178955078,-0.004699109991817996,-0.09226190557382907
2022-02-03,814633.2974805832,-0.031138228910104093,-0.18536670251941678,74.09075927734375,-0.027147576535352824,-0.11690479496631889
2022-02-04,839479.1029498577,0.03049937382392187,-0.16052089705014227,75.45911407470703,0.018468629701055228,-0.10059523663377434
2022-02-07,842545.7739503384,0.0036530641319179047,-0.15745422604966164,75.37921142578125,-0.0010588866554499532,-0.10154760433555099
2022-02-08,858037.3544740677,0.018386633703111332,-0.1419626455259323,76.4678955078125,0.014442762950673371,-0.0885714693625047
2022-02-09,878321.7890188694,0.023640502874417324,-0.12167821098113063,77.75634765625,0.01684958295087191,-0.0732142787317368
2022-02-10,871628.1005401611,-0.007620997864786538,-0.12837189945983885,76.6476821899414,-0.01425819884454771,-0.0864285738318673
2022-02-11,851090.7504959106,-0.023562055917567548,-0.14890924950408935,74.76994323730469,-0.024498313569136676,-0.10880953309793762
2022-02-14,848480.1861979961,-0.0030673160252222553,-0.15151981380200386,74.86981964111328,0.0013357827956563817,-0.10761909620459686
2022-02-15,872779.1035327911,0.028638167078099297,-0.1272208964672089,76.51783752441406,0.022011778460272913,-0.08797620544807427
2022-02-16,850368.2965199947,-0.02567752472771523,-0.14963170348000532,76.52783203125,0.00013061669225500339,-0.08785707991677216
2022-02-17,818780.4314393997,-0.037146099178277936,-0.18121956856060029,74.87981414794922,-0.02153488266370618,-0.10749997067329475
2022-02-18,786205.1297259331,-0.03978514930577892,-0.21379487027406696,74.43035125732422,-0.006002457347676349,-0.1128571640321282
2022-02-22,771440.2741045952,-0.018779902423792127,-0.22855972589540485,72.42277526855469,-0.026972544867198578,-0.13678566397888547
2022-02-23,757409.6224513054,-0.0181876058643361,-0.2425903775486946,70.4950942993164,-0.026617054677760543,-0.15976188715938622
2022-02-24,786389.5653321743,0.03826191537820356,-0.2136104346678257,72.02325439453125,0.021677538137993002,-0.1415475934232886
2022-02-25,808079.6176578999,0.027581816038674933,-0.19192038234210018,73.41158294677734,0.019276115248015202,-0.12499996589917994
2022-02-28,808889.9984707832,0.001002847733286627,-0.19111000152921676,73.48149871826172,0.0009523806554485592,-0.1241666327931854
2022-03-01,798001.5730159283,-0.013460947069984353,-0.20199842698407178,72.37283325195312,-0.015087681738220504,-0.1373809278933159
2022-03-02,800100.7256672382,0.0026305119216452066,-0.19989927433276178,73.72120666503906,0.018630933079430756,-0.12130952968785569
2022-03-03,767661.1617805958,-0.0405443500374153,-0.23233883821940426,72.36283874511719,-0.018425741809867224,-0.13750005342461802
2022-03-04,746025.7152171135,-0.02818358885487804,-0.25397428478288653,71.02445220947266,-0.018495495185846922,-0.15345241703429624
2022-03-07,712271.2610144615,-0.04524569798888034,-0.2877287389855385,67.79833984375,-0.045422558926718204,-0.19190477450582688
2022-03-08,713593.4522213936,0.0018563028993321407,-0.2864065477786064,67.82830810546875,0.0004420205832151858,-0.19154757978296055
2022-03-09,749087.2880220413,0.049739576071160085,-0.2509127119779587,69.73600769042969,0.028125418991648443,-0.16880951672954403
2022-03-10,742125.6631302834,-0.009293476211751028,-0.2578743368697166,70.0456314086914,0.004439940405481568,-0.16511908051821966
2022-03-11,721386.4407286644,-0.02794570169442867,-0.2786135592713356,68.82710266113281,-0.01739621334054242,-0.1796428471074729
2022-03-14,706329.0508942604,-0.020872848426697233,-0.29367094910573954,67.84828186035156,-0.014221444212179524,-0.19130951059139645
2022-03-15,728231.1695165634,0.031008378594330033,-0.2717688304834366,69.96573638916016,0.031208668381121907,-0.1660713572844762
2022-03-16,764029.7489805222,0.04915826314839511,-0.23597025101947788,72.13311767578125,0.030977752804112413,-0.14023812193416574
2022-03-17,778247.0448662853,0.018608301449955178,-0.22175295513371474,73.15189361572266,0.014123553407472622,-0.128095229131594
2022-03-18,798942.9781133747,0.026593012313519626,-0.20105702188662533,74.42036437988281,0.017340231420714947,-0.11297619862791031
2022-03-21,786553.1866221046,-0.015507729375790147,-0.2134468133778954,73.53144073486328,-0.011944629033015408,-0.12357136887875508
2022-03-22,801622.7654718971,0.019159008069765227,-0.19837723452810296,75.01964569091797,0.020239028926698044,-0.10583330446130568
2022-03-23,783843.9143638229,-0.02217857560171488,-0.21615608563617705,73.89100646972656,-0.015044582133077689,-0.11928566875300028
2022-03-24,789041.9353112793,0.006631449006879286,-0.2109580646887207,74.54000091552734,0.0087831317613285,-0.11155023873756764
2022-03-25,778457.5963523006,-0.013414165312776616,-0.2215424036476994,74.41999816894531,-0.0016099107205274077,-0.112980563532874
2022-03-28,799922.9498347854,0.027574210314174064,-0.2000770501652146,75.66999816894531,0.01679656047776712,-0.09808168792329919
